Object_ID,Target_Class,Speed_mps,Altitude_m,Latitude,Longitude,Heading_deg,Pitch_deg,Roll_deg,Yaw_deg,Climb_Rate_mps,Acceleration_mps2,Turn_Rate_degps,Range_From_Radar_km,Bearing_deg,Radar_Cross_Section_m2,Doppler_Shift_Hz,Signal_to_Noise_Ratio_dB,Radar_Return_Strength,Infrared_Intensity,Engine_Type,Heat_Signature,Length_m,Wingspan_m,Estimated_Mass_kg,Flight_Profile,Maneuverability_Index,Max_G_Load,Weather,Visibility_km,Wind_Speed_mps,Temperature_C,Humidity_pct,Radar_Band,Sensor_Type,Detection_Time_ms,Tracking_Confidence,Track_Age_s,Number_of_Tracks,Electronic_Jamming,Chaff_Flares_Detected,Stealth_Category,Threat_Level,Target_Label
257,Transport Aircraft,197.6,7066.2,33.81234,-155.03779,204,-4.7,23.6,278,-6.9,1.78,26.27,392.2,101,39.71,8073,30.6,0.789,High,Turbofan,High,25.9,3.2,187301,Cruise,3,23,Rain,26.6,21.6,27.3,44,S,AWACS,282,0.883,193.5,169,,Yes,High,High,Transport Aircraft
258,Ballistic Missile,2277.1,11392.4,45.91077,-105.08159,290,5.8,19.5,74,42.2,3.87,12.44,43.5,110,8.57,44329,20.4,0.702,Very High,Rocket,Very High,32.9,20.5,161869,Ballistic,8,14,Rain,22.4,8.4,15.9,20,X,AWACS,270,0.871,410.5,45,Moderate,Yes,High,Low,Ballistic Missile
259,Hypersonic Missile,1950.6,37881.1,20.81766,33.38291,60,16.2,-9.5,16,1.6,15.7,24.52,76.8,352,47.53,37838,35.7,0.774,Medium,Scramjet,Very High,2.3,6,562,Glide,7,23,Rain,9.6,21.7,36.6,38,L,IRST,403,0.783,27.5,25,Weak,Yes,Low,High,Hypersonic Missile
260,Cruise Missile,223.8,2917.6,-32.34961,63.6837,168,1,13.4,147,41.1,2.67,11.96,197.1,265,38.94,29890,36.8,0.917,Low,Turbojet,Medium,35.6,22.5,186359,Terrain Following,2,24,Fog,23.7,14.9,4.9,67,S,Ground Radar,146,0.698,178.4,125,Weak,No,High,High,Cruise Missile
261,Helicopter,89.5,12792.7,56.45007,81.4819,331,-13.2,-2.8,50,-8.7,3.61,25.17,173,160,32.99,15815,27.4,0.071,Very High,Turboshaft,Medium,33.4,59.7,128921,Hover,2,24,Clear,16.7,14.8,27.1,97,L,IRST,21,0.817,86.9,29,Weak,No,Medium,Low,Helicopter
262,Fighter,311.4,25398.8,8.74888,169.89313,336,-16.6,-2.8,293,7.2,12.81,17.67,291.1,89,42.12,-20423,26.3,0.938,Very High,Jet,High,4.4,13.3,94715,Combat,2,4,Rain,30,15.1,29.3,61,S,Ground Radar,387,0.989,32.1,134,Strong,Yes,Low,Low,Fighter
263,Fighter,708.2,20683.7,32.8496,-114.89826,44,-10.6,-24.5,261,15.4,12.92,22.35,294.6,44,7.2,25654,31.4,0.032,Medium,Jet,High,14.9,29.3,190944,Combat,10,24,Clear,8.4,21.8,-11.3,54,S,Ground Radar,29,0.977,391.8,7,Moderate,No,Medium,Low,Fighter
264,Ballistic Missile,4931.1,30373.2,14.76944,-14.77222,189,0.2,11.4,171,-41,16.06,8.31,103.2,145,49.06,-7949,14.1,0.073,Low,Rocket,Very High,27.7,48,22729,Ballistic,9,16,Fog,11.3,4.8,-3.3,59,L,AESA,178,0.666,490.5,168,Moderate,Yes,Low,Medium,Ballistic Missile
265,Helicopter,53,35853.5,-47.43085,131.16703,349,-13.8,-56.2,205,33.2,4.84,10.72,117.2,115,48.93,10232,7.2,0.564,Low,Turboshaft,Medium,29.1,18.9,189280,Hover,7,19,Fog,5.3,13.2,32.6,43,C,AWACS,181,0.545,347.2,200,Moderate,Yes,Low,High,Helicopter
266,Ballistic Missile,5323.5,31231.7,-27.20619,-99.91763,283,-9.3,34.1,314,-23.3,12.4,0.46,20.5,276,3.53,19176,5.4,0.568,High,Rocket,Very High,28.6,29.4,85804,Ballistic,2,11,Rain,13.5,17.9,-18.7,79,X,AWACS,107,0.94,283.3,120,,No,Medium,Medium,Ballistic Missile
267,Hypersonic Missile,2166.4,40144.3,49.69732,-118.94281,331,4.2,-11,180,1.7,17.96,16.71,287.9,72,17.36,11817,30.9,0.152,Medium,Scramjet,Very High,22,52.9,52846,Glide,7,22,Rain,5.6,5.3,44.2,69,C,IRST,72,0.775,198.5,167,Strong,Yes,Low,Low,Hypersonic Missile
268,Helicopter,40.9,29418,-22.33875,126.336,65,2.9,52.6,273,9.8,7.58,11.75,288.7,132,41.59,-2135,9.1,0.221,Very High,Turboshaft,Medium,43.7,46.9,86491,Hover,3,3,Fog,13.1,14.4,29.8,52,C,AESA,314,0.725,402.1,77,Weak,No,Low,Low,Helicopter
269,Ballistic Missile,4418.8,24881.8,8.56712,-97.66399,263,-11.8,-56.6,5,1.5,15.12,6.02,88,177,42.93,-18685,12.1,0.202,Low,Rocket,Very High,5.4,40.2,147097,Ballistic,6,20,Storm,11.5,17.4,10.8,87,L,AESA,426,0.845,531.6,16,Strong,Yes,Low,Medium,Ballistic Missile
270,Transport Aircraft,248.2,29923.3,-28.04609,-57.05981,214,9.7,-9.3,137,27.7,-3.61,22.36,296.4,315,1.67,4937,5.4,0.266,Medium,Turbofan,High,48.3,37.5,45036,Cruise,10,30,Rain,18.7,10.8,-8.6,76,C,AWACS,107,0.558,357.8,141,Weak,No,Medium,Medium,Transport Aircraft
271,Transport Aircraft,185.6,9249.2,32.74353,124.56797,193,3.5,20.4,79,-43,11.7,17.42,107.5,328,5.2,-18750,39.2,0.823,Medium,Turbofan,High,11.9,34,120465,Cruise,7,5,Rain,29,13.7,2.9,91,C,IRST,152,0.608,441.4,2,Moderate,Yes,High,Medium,Transport Aircraft
272,Hypersonic Missile,3492.5,45006.1,-52.27653,73.89365,243,-7.3,1.5,179,-30.8,15.79,25.21,230,32,21.33,-41140,20,0.671,High,Scramjet,Very High,5.8,57.6,25361,Glide,6,19,Storm,3.9,21.9,-2.3,81,X,IRST,237,0.568,70.1,175,Weak,Yes,Low,Medium,Hypersonic Missile
273,Ballistic Missile,5308,18805.7,3.07182,157.8012,181,19.2,-31.9,54,11.4,19.52,9.92,12.4,252,1.69,-8149,9.1,0.097,Medium,Rocket,Very High,42.5,21.3,97197,Ballistic,5,6,Clear,17.7,21.4,38.9,52,S,IRST,317,0.834,309.9,59,Moderate,Yes,Low,Medium,Ballistic Missile
274,Helicopter,46.6,48640.8,-36.65095,57.09369,42,-12.6,-13.6,46,-43.3,1.88,10.98,2.3,101,47.26,41255,18.4,0.322,Very High,Turboshaft,Medium,12.3,14.6,132272,Hover,9,26,Storm,16.1,11.7,-12.5,24,X,IRST,112,0.913,46.3,146,Weak,No,Medium,Low,Helicopter
275,Hypersonic Missile,2052.5,26245.3,35.13097,26.86549,138,17.9,41.1,10,-33.2,17.75,14.7,381.4,353,30.79,-12215,35.4,0.973,Very High,Scramjet,Very High,31.2,58.7,76754,Glide,3,10,Fog,27.2,12.3,8.4,74,X,AWACS,278,0.932,288.8,27,,No,Low,Low,Hypersonic Missile
276,Ballistic Missile,6231.1,35727,13.63801,48.37142,294,0.6,-10.6,232,-18.2,14.33,17.94,281.9,22,7.79,12925,28,0.422,Very High,Rocket,Very High,20.2,8.9,102728,Ballistic,6,30,Rain,29.7,23,4.1,48,C,AWACS,274,0.86,79,2,Strong,Yes,High,High,Ballistic Missile
277,Fighter,427.3,9850.3,-20.51646,93.27622,44,12.9,0,297,6.9,1.13,14.83,345.5,29,7.06,30488,24.5,0.834,Very High,Jet,High,49.3,27.7,35702,Combat,1,30,Storm,20.3,2.5,38.6,27,X,AESA,243,0.942,580.1,66,Weak,No,Medium,Low,Fighter
278,UAV,59.3,36253.4,2.74578,161.10943,63,7.1,49.3,26,-21.1,2.75,2.98,298.9,332,17.4,-48714,26.5,0.25,Low,Electric,Low,35.5,52.1,114431,Loiter,4,13,Fog,27.6,14.7,10,14,X,AWACS,342,0.508,157.3,170,,Yes,Low,High,UAV
279,Ballistic Missile,2092.6,22656.1,1.54109,-162.38201,223,11.1,5.1,2,15,15.7,3.73,129.4,91,25.87,17509,11.3,0.824,Very High,Rocket,Very High,12.3,45,106233,Ballistic,4,17,Rain,4.3,20.5,14.7,47,C,AWACS,141,0.759,43,77,,No,High,High,Ballistic Missile
280,Fighter,408.6,31515.2,-46.5206,114.63933,33,5.1,-50.4,275,-36.1,6.94,2.1,20,294,46.04,-10682,16.3,0.401,Very High,Jet,High,24.3,5.1,150688,Combat,6,28,Rain,29.7,14,28.9,79,L,Ground Radar,344,0.795,421.5,65,,No,High,High,Fighter
281,Ballistic Missile,5009.6,21287.6,54.98661,169.8041,6,16.6,16.9,234,-24.7,9.43,8.78,236,277,36.97,1421,35.1,0.036,Very High,Rocket,Very High,37.1,15,81830,Ballistic,6,17,Fog,19.8,0.8,8.8,58,C,AWACS,214,0.971,356.9,119,Strong,No,Low,High,Ballistic Missile
282,UAV,25.9,46293,-36.11363,71.79487,208,3.5,7.6,94,-21.8,7.13,10.98,348.2,24,22.02,17164,37.2,0.09,High,Electric,Low,20.8,11.4,175368,Loiter,5,2,Rain,9.9,1.7,-6.9,10,X,IRST,304,0.9,132,163,Moderate,No,Low,High,UAV
283,Helicopter,77.3,10647,7.57379,-113.22782,287,17.1,36.2,16,-24.9,-1.94,4.64,6,82,7.69,29852,7,0.422,High,Turboshaft,Medium,33.7,49.3,18432,Hover,5,25,Rain,22.3,1.1,-10.2,60,L,IRST,376,0.738,588.4,177,Strong,No,Low,High,Helicopter
284,Hypersonic Missile,3226.3,13407.4,-55.99278,87.27431,53,12.1,7.6,220,22.2,1.19,7.98,386.5,338,14.95,22659,22.1,0.842,Medium,Scramjet,Very High,4,36.8,9877,Glide,4,26,Storm,14.2,23.8,-16.6,38,L,AWACS,308,0.614,138.1,61,Moderate,Yes,Low,High,Hypersonic Missile
285,Helicopter,68.5,3166.3,30.1976,-112.01131,335,4.4,50.4,262,-44.3,19.88,23.78,213.8,278,44.06,46198,28.5,0.809,Low,Turboshaft,Medium,32.3,58.6,42843,Hover,3,9,Clear,2.5,21.1,8.1,75,S,IRST,346,0.816,404.3,175,,Yes,Medium,Low,Helicopter
286,UAV,59.8,25172.5,-48.24467,158.33391,184,-6.5,-23.6,119,-32.2,18.07,24.22,295.2,217,7.62,25037,37.5,0.884,High,Electric,Low,29.9,25.2,72575,Loiter,10,10,Rain,25.7,6.5,15.7,18,S,IRST,407,0.977,225.5,48,,No,High,Medium,UAV
287,Cruise Missile,229.9,30057.4,47.8797,178.75869,136,2.7,36.9,166,0.3,6.89,22.52,25.3,319,12.84,-23040,19.1,0.323,Low,Turbojet,Medium,45,33.9,19226,Terrain Following,5,30,Storm,13.8,4,39.8,12,L,AESA,142,0.537,406.3,134,Weak,No,High,Medium,Cruise Missile
288,Transport Aircraft,239.9,42764.7,54.70713,-170.62698,154,-4.8,-22,325,-43.7,5.91,8.92,327.6,128,12.02,10222,35.7,0.525,Medium,Turbofan,High,17.7,40.4,132489,Cruise,1,21,Rain,11.2,18.5,8.8,34,X,Ground Radar,239,0.784,133.8,79,Weak,Yes,Low,Low,Transport Aircraft
289,Transport Aircraft,257.3,21362.5,-56.0996,-82.74167,172,-6.6,16.7,118,40.2,16.03,12.15,197,152,10.88,-40502,15.1,0.821,Low,Turbofan,High,3.4,27,194302,Cruise,2,6,Clear,7.1,23.5,22.8,98,S,IRST,173,0.811,594.6,140,Weak,No,Medium,Low,Transport Aircraft
290,Hypersonic Missile,2753.9,39392.4,52.02118,-164.18433,246,-8.4,20.4,183,-34.7,-2.44,21.99,239.1,279,29.83,-43300,34.7,0.062,Very High,Scramjet,Very High,44.1,37.9,188699,Glide,7,25,Clear,18.4,18,-11.5,29,X,AESA,176,0.977,251.3,33,,Yes,Medium,Low,Hypersonic Missile
291,Helicopter,81.1,36440.4,52.07246,-138.77241,314,14.1,-43.4,264,-10.5,10.82,24.61,101.6,53,14.77,-38612,14.4,0.997,Very High,Turboshaft,Medium,26,3.6,117616,Hover,4,30,Rain,10.9,11.3,-6.7,29,L,AESA,209,0.566,460.2,144,,Yes,High,Medium,Helicopter
292,UAV,49.6,42983,18.25884,-140.82999,154,9.1,-58.5,74,-34.3,2.16,29.29,243.1,266,44.87,33462,14.1,0.737,Medium,Electric,Low,37.7,31.9,7448,Loiter,3,22,Fog,10.6,24.6,29.4,36,X,AESA,196,0.927,256.9,49,Strong,Yes,High,High,UAV
293,UAV,38.3,38478.9,36.06829,53.24088,352,-1.5,-19.7,173,-45.2,6.17,6.04,316,276,7.68,-40653,28.4,0.962,Very High,Electric,Low,19,51.2,94022,Loiter,5,28,Storm,15.4,3.2,-6.2,20,S,Ground Radar,68,0.937,287.2,8,,No,Low,Medium,UAV
294,Hypersonic Missile,3059.6,32817,-34.47794,89.6665,93,11.1,-38.2,343,1.7,8.55,26.64,174.4,94,43.01,37869,34.2,0.962,Low,Scramjet,Very High,13.5,25.6,150565,Glide,7,30,Fog,15.7,1.8,-7.3,36,X,AWACS,493,0.801,458.5,29,Moderate,Yes,Medium,High,Hypersonic Missile
295,Ballistic Missile,4764.6,48058.1,-52.97615,-107.76857,10,-17.4,35.3,178,17.5,-3.14,27.65,116.4,58,23.72,-20645,31.5,0.588,Low,Rocket,Very High,37.9,9.4,108077,Ballistic,3,2,Fog,2,0.2,6.5,51,C,AESA,395,0.806,296.3,78,,Yes,Low,Low,Ballistic Missile
296,Transport Aircraft,247.8,6170.3,17.00223,114.24994,201,-13.2,16.4,275,21.3,7.19,28.98,301.2,78,6.31,8141,11.8,0.427,Medium,Turbofan,High,18.1,29.3,38191,Cruise,1,12,Clear,10.9,5.3,16.5,57,C,AWACS,86,0.765,295.9,55,Strong,Yes,Low,High,Transport Aircraft
297,UAV,26.7,11733.4,53.7893,152.30395,343,-19.3,-2.4,274,-3.8,9.06,21.21,284.1,153,0.91,-14497,31.9,0.729,Low,Electric,Low,23.4,21.7,66360,Loiter,4,23,Fog,15.6,23.4,-19,86,C,IRST,59,0.766,489.1,84,Strong,Yes,High,Low,UAV
298,Transport Aircraft,240.9,663.8,24.91199,150.16449,212,4.2,-15.4,148,-43.1,6.34,9.05,41.8,165,7.3,38831,36.2,0.886,High,Turbofan,High,23.8,38.4,43720,Cruise,6,16,Clear,26.2,11.2,33.8,60,C,IRST,40,0.857,519.3,185,Weak,No,High,Medium,Transport Aircraft
299,UAV,39.2,29624.5,-59.95491,99.29664,19,0.3,49.3,356,15.2,16.64,10.49,319,77,6.32,2591,38.5,0.345,Very High,Electric,Low,44,4.5,165879,Loiter,5,13,Rain,13.6,18.5,4.2,80,S,AESA,74,0.868,286.7,200,,Yes,Low,Low,UAV
300,Cruise Missile,224.5,31282.8,-4.53403,-151.97565,221,19.7,-8.2,219,28.7,11.6,5.11,364.4,218,21.41,-41209,39.5,0.727,Very High,Turbojet,Medium,36.5,31.1,137985,Terrain Following,3,14,Fog,8.7,2.5,36.2,87,C,Ground Radar,411,0.705,201,34,Weak,No,Low,Medium,Cruise Missile
301,Ballistic Missile,5836,25027.2,52.00351,-93.95692,229,15.4,3.1,305,44.8,5.12,15.69,289.7,19,20.39,8167,27.7,0.225,Very High,Rocket,Very High,39.8,9,12850,Ballistic,5,23,Fog,6.7,20.9,4.8,32,C,AWACS,226,0.615,212.9,88,Weak,No,High,Low,Ballistic Missile
302,Transport Aircraft,255.3,311.5,50.28041,-54.29825,135,-18.3,-2.6,275,31.9,1.23,2.38,124.7,103,44.95,-41405,16.7,0.738,Very High,Turbofan,High,10.4,24.8,53401,Cruise,8,2,Rain,21.6,10.1,-16,81,S,IRST,486,0.502,123.5,20,Weak,No,Medium,High,Transport Aircraft
303,Helicopter,63,7006.7,-1.5491,70.6459,50,-5.1,-43.9,243,12.7,0.71,6.14,399.9,158,13.29,41543,24,0.041,High,Turboshaft,Medium,28.6,8.8,6565,Hover,4,27,Fog,12.7,8.6,2.8,68,C,IRST,351,0.614,188.9,104,Moderate,Yes,Low,Medium,Helicopter
304,Hypersonic Missile,2670.1,18246.8,-11.63942,145.54338,266,-16.5,26.1,296,36.7,17.74,10.16,219.8,61,5.41,-32369,25.3,0.225,Very High,Scramjet,Very High,26.8,53.4,112782,Glide,7,2,Clear,12.1,13.3,17.7,35,L,AWACS,114,0.645,462,51,Weak,No,Medium,Low,Hypersonic Missile
305,Transport Aircraft,227,23440.6,10.27078,-124.54426,292,10.4,21.7,157,-13.1,-0.84,11.47,51.4,346,17.83,-31818,37.5,0.974,Low,Turbofan,High,29.1,56.5,81484,Cruise,6,11,Storm,9.1,14.9,-4.2,63,X,IRST,498,0.93,112.8,62,,Yes,Low,High,Transport Aircraft
306,Hypersonic Missile,3314.1,37928.2,-47.87876,-134.56136,264,18,-32.5,256,43.4,15.85,12.95,11.7,234,27.53,-49822,13.8,0.804,Medium,Scramjet,Very High,6.3,24.2,26178,Glide,7,30,Rain,23.4,19.3,-14.1,33,C,AESA,225,0.682,331.5,23,Moderate,Yes,Medium,High,Hypersonic Missile
307,Cruise Missile,277.5,15087.4,-45.86392,-101.95805,268,-3.8,-34.2,260,-36.9,-4.9,1.95,328.3,131,46.05,-31001,28.5,0.078,Low,Turbojet,Medium,19.7,48.6,105553,Terrain Following,2,27,Clear,10.2,1.1,29,96,X,IRST,166,0.835,124.9,199,Moderate,Yes,Low,Medium,Cruise Missile
308,Cruise Missile,256.8,5761.7,-34.91985,111.69596,206,-7.1,42.1,70,38.2,1.41,15.2,170.5,20,45.76,-11428,23.3,0.852,Very High,Turbojet,Medium,44.6,24.6,163396,Terrain Following,1,27,Rain,13.9,10,1.6,83,S,AESA,436,0.93,442,151,Strong,Yes,Low,Medium,Cruise Missile
309,Fighter,341.8,1974.4,29.02941,22.67436,291,17.7,-34.6,324,46.1,-0.44,3.9,392.6,233,5.48,-3954,21.3,0.976,Low,Jet,High,20.2,30.7,138117,Combat,7,22,Fog,29,1.1,17.3,80,C,Ground Radar,78,0.934,223,120,Moderate,No,Low,Low,Fighter
310,Cruise Missile,202.8,26825.1,-10.59196,169.69555,141,-19.7,-23.3,66,-42.7,6.08,14.51,146.6,197,17.52,30572,16.3,0.914,Low,Turbojet,Medium,17.7,57.4,31531,Terrain Following,3,5,Fog,17.8,10.6,-19,18,L,Ground Radar,203,0.767,460.7,117,,No,Medium,Low,Cruise Missile
311,Helicopter,42.3,8682.3,51.84233,85.74034,2,-11.4,-13.7,295,-1.3,11.45,13.77,174.4,29,48.51,14243,38.2,0.077,Very High,Turboshaft,Medium,12.2,40,166931,Hover,10,17,Clear,8.7,15.9,-9.8,21,X,AESA,164,0.974,580.1,151,Strong,No,High,High,Helicopter
312,Helicopter,73.5,40511.7,-18.98065,-39.37393,273,14.4,-18.2,27,-30.2,16.01,12.92,32.7,180,9.92,-35463,7.1,0.469,Very High,Turboshaft,Medium,36.8,24.5,139179,Hover,2,7,Storm,11.2,18.2,5.1,56,X,AESA,407,0.836,508,62,,Yes,High,Medium,Helicopter
313,Helicopter,72,47964.9,-34.29272,-3.37207,192,-19.8,-15.1,305,37.3,-4.23,7.98,140.9,280,39.95,-31484,10.1,0.641,Low,Turboshaft,Medium,47.5,46.9,122889,Hover,5,2,Fog,26.7,8.8,21.4,24,X,Ground Radar,155,0.921,92.8,49,,Yes,Low,High,Helicopter
314,Cruise Missile,256.3,49698.5,-26.13918,-66.68562,294,15,-59.8,91,-11.4,7.59,17.74,34.4,3,1.57,12926,22.6,0.788,Medium,Turbojet,Medium,16.8,57,130135,Terrain Following,10,8,Clear,17.6,7.9,-6.2,47,X,AWACS,443,0.834,420.2,29,Strong,Yes,Low,Low,Cruise Missile
315,Ballistic Missile,3239.5,25588.3,3.18417,-125.86362,308,18.4,-40.5,224,-26,2.17,7.76,94.1,294,6.93,46911,35.5,0.327,Low,Rocket,Very High,36.1,17.4,23093,Ballistic,3,6,Clear,1,18.5,28.6,26,L,IRST,250,0.535,288.1,127,,Yes,High,Low,Ballistic Missile
316,Helicopter,72.1,17482.5,-11.39734,-156.06968,176,13.7,35.6,20,21,-0.9,16.6,228.2,105,8.14,48840,29.9,0.679,Very High,Turboshaft,Medium,13.1,40.1,111538,Hover,5,15,Clear,21.7,19.9,-5.7,81,S,IRST,141,0.62,257.3,143,Moderate,No,High,Medium,Helicopter
317,Fighter,304.1,42224.7,39.6796,102.51239,354,12.4,-18.3,78,21.9,14.22,3.97,244.7,18,15.63,10846,36.5,0.302,High,Jet,High,6.8,36.1,148659,Combat,2,26,Clear,25,1.2,28.9,99,C,AWACS,247,0.511,51.6,25,,No,Low,High,Fighter
318,Transport Aircraft,210.5,47735.6,-56.92847,-58.5829,277,13.8,-59.6,22,-43.2,10.47,1.02,128.9,280,49.05,-43301,7.8,0.008,Very High,Turbofan,High,49.8,3.5,163850,Cruise,3,21,Storm,14,13.5,29.5,39,S,Ground Radar,145,0.71,395.5,15,Moderate,No,Low,High,Transport Aircraft
319,Transport Aircraft,250.5,37680.3,26.05979,-38.86557,241,8.6,13.6,137,-26.1,9.49,0.68,389.4,319,30.25,41436,24.6,0.485,High,Turbofan,High,10.4,9.7,132467,Cruise,9,28,Clear,13.3,1.1,36.2,19,C,Ground Radar,150,0.527,494.6,143,Moderate,Yes,High,Medium,Transport Aircraft
320,UAV,56.8,28798.9,13.82714,92.79731,200,6.3,-24,358,-2,-1.1,1.99,346.8,255,6.09,11835,14.1,0.473,Low,Electric,Low,25.4,42.9,80221,Loiter,3,20,Fog,20.9,0.2,35.8,51,C,AWACS,124,0.826,272.4,108,,No,Low,High,UAV
321,UAV,56,11106.1,7.81016,-141.54091,345,-11.9,32.1,34,12,19.24,24.33,83.2,76,19.94,-32616,32.7,0.676,High,Electric,Low,36.8,45.6,111272,Loiter,1,17,Rain,27.9,22.9,17.8,44,S,AESA,311,0.691,65,59,,No,Low,Medium,UAV
322,Cruise Missile,180.7,10808.3,-38.01067,-56.76835,73,4.9,45.5,219,8.8,16.47,28.95,77.6,95,39.35,34199,21.6,0.004,Medium,Turbojet,Medium,2.9,47.7,190934,Terrain Following,9,7,Fog,6.6,3.5,42.3,98,C,Ground Radar,429,0.966,478.8,141,,Yes,Medium,Medium,Cruise Missile
323,Hypersonic Missile,2739.3,45650.9,-5.42408,72.98638,197,13.6,-6.2,263,32.7,10.36,20.12,249.2,271,49.15,44964,37.6,0.284,Medium,Scramjet,Very High,7.7,59.4,49819,Glide,3,21,Clear,16.1,2,-11.8,96,L,AWACS,422,0.728,403.5,121,,No,Low,Low,Hypersonic Missile
324,Helicopter,70.2,49380.5,-1.41341,48.37315,162,3.3,6.3,49,13.3,13.3,22.56,137.3,321,20.77,-23009,16.1,0.901,Medium,Turboshaft,Medium,24.9,5.8,28843,Hover,5,10,Rain,24.6,23.9,-9.2,74,X,IRST,62,0.603,428.9,4,Weak,Yes,Medium,Low,Helicopter
325,Helicopter,43.1,9134.5,-10.51642,-58.85935,332,19.7,-46.8,153,-22.6,19.26,2.28,276.1,28,18.07,-34206,7.2,0.918,Low,Turboshaft,Medium,15.9,51.7,46490,Hover,2,7,Storm,9,17.9,-9.7,57,L,Ground Radar,429,0.899,211.2,93,Strong,Yes,Medium,High,Helicopter
326,Fighter,679.7,29010.1,27.80105,75.30222,207,-16.7,-11.9,222,-40.4,18.07,16.97,225.1,91,0.81,35613,11.3,0.868,High,Jet,High,30.9,35.9,125170,Combat,1,30,Fog,26.5,5.9,31.7,17,C,Ground Radar,81,0.76,226.9,142,Weak,No,Low,High,Fighter
327,Fighter,446.5,12827.8,-43.98056,-135.60637,38,-13.2,-1.5,232,9.8,15.1,14.08,325.8,130,24.15,-44160,25.1,0.352,High,Jet,High,11,41,183333,Combat,5,3,Clear,27.8,19.6,34,19,L,Ground Radar,123,0.566,145.2,155,Strong,No,High,Low,Fighter
328,Helicopter,56.6,39999.8,-40.91464,15.12908,257,-9.7,-15.3,58,5.2,16.44,10.79,108.6,328,43.43,25098,21.3,0.114,Medium,Turboshaft,Medium,49.1,27.5,188079,Hover,9,6,Rain,22.9,0.9,13.6,90,S,Ground Radar,137,0.797,263.9,84,,Yes,Low,Medium,Helicopter
329,UAV,49.9,225.9,38.70203,-118.64724,318,-3.1,-5.9,51,29.3,3.82,1.28,308.6,284,16.97,28153,16.4,0.506,Medium,Electric,Low,31,46.8,12080,Loiter,5,7,Fog,23.6,9.9,-0.7,12,L,AESA,290,0.943,519.3,187,Strong,No,High,Low,UAV
330,UAV,61.6,10176.2,11.76031,-156.13286,138,-11.6,-49.2,18,8.2,-4.76,3.57,393.4,265,20.07,36287,38.3,0.07,Very High,Electric,Low,17.6,15.1,57070,Loiter,2,30,Fog,21.5,3.2,-0.3,17,L,AWACS,440,0.611,431.8,27,Weak,Yes,Low,High,UAV
331,Transport Aircraft,239.2,18092.9,-56.64376,20.396,315,-18.4,11.8,65,-46.2,-3.61,13.24,281,129,19.38,20835,6,0.236,Very High,Turbofan,High,37.9,41.5,19955,Cruise,3,16,Storm,26.9,5.9,27.3,48,C,Ground Radar,392,0.984,599.2,58,Strong,Yes,High,Medium,Transport Aircraft
332,Fighter,194.6,7470.8,-13.5999,2.37862,359,7,-13.8,203,9.5,5.67,19.62,314.1,181,32.44,33123,35.6,0.282,Medium,Jet,High,47.3,40.2,146632,Combat,4,27,Rain,19.9,4.3,-6.3,65,L,AESA,92,0.75,528.9,143,Weak,No,High,Low,Fighter
333,Ballistic Missile,2799.7,47158.7,-52.03184,47.78526,16,-18.8,14,352,-27.7,9.84,1.5,292.7,358,11.79,2981,21,0.583,Low,Rocket,Very High,20.1,40.9,173835,Ballistic,1,18,Storm,15.7,8,-6.3,11,C,Ground Radar,50,0.857,99.1,171,Weak,No,High,High,Ballistic Missile
334,Cruise Missile,263.2,49186.3,3.27895,-49.84178,274,7.6,16.4,311,-2.2,5.9,8.81,354.5,49,29.46,-21216,39.2,0.156,High,Turbojet,Medium,40.1,54.3,168206,Terrain Following,8,3,Rain,17.5,3,-18.6,11,X,Ground Radar,205,0.949,40.2,124,Strong,Yes,Medium,Medium,Cruise Missile
335,Helicopter,42.1,3820.8,57.26577,67.46421,1,7.5,50.2,94,39.7,-4.35,1.87,327.8,141,41.2,-19851,34.6,0.788,High,Turboshaft,Medium,22.9,36.7,183174,Hover,1,12,Clear,27.4,10.4,41.5,54,C,AESA,309,0.808,435.2,30,Weak,No,High,Medium,Helicopter
336,Ballistic Missile,6719.4,14828.4,18.86346,49.42511,46,8.7,-2.5,53,-30,17.48,24.67,109.1,80,24.5,47655,6.2,0.183,Low,Rocket,Very High,2.5,12.2,169633,Ballistic,3,22,Rain,7.3,4.6,38.7,47,L,AWACS,458,0.627,265.3,35,Moderate,No,Medium,Medium,Ballistic Missile
337,Transport Aircraft,211.6,28934.3,-49.76377,-145.56943,212,-0.8,-47.8,103,-9.8,-3.42,6.14,295.5,143,14.91,38018,5.8,0.435,High,Turbofan,High,4.6,25.7,178076,Cruise,4,4,Fog,25.1,19.7,9.5,14,C,IRST,361,1,101.8,69,Strong,Yes,Medium,Low,Transport Aircraft
338,Ballistic Missile,4018.9,34893.7,-14.68837,171.34673,97,-9.3,6.6,47,-34.8,1.96,26.12,172.3,104,19.83,-11289,37.2,0.745,Medium,Rocket,Very High,9.3,24,163347,Ballistic,1,29,Rain,12.4,14.5,27.4,78,S,IRST,95,0.93,491.7,82,,Yes,Low,Medium,Ballistic Missile
339,Fighter,451.2,30927.8,-45.18319,-175.15832,331,-4.1,18.3,226,37.1,9,6.75,61.1,61,9.75,-4171,36.8,0.461,Medium,Jet,High,38.3,2.1,22950,Combat,3,10,Clear,7.9,20.8,-6.6,20,X,Ground Radar,56,0.568,556.2,149,Strong,Yes,Low,High,Fighter
